user_id,items,created_at,updated_at
70004,"[46411, 69539, 96872, 91858, 24103]",2024-06-05 11:04:05,2025-01-10 23:03:36
36804,"[29481, 37793, 12614, 38736, 90091]",2025-01-06 13:58:04,2025-01-16 03:39:04
63594,"[93333, 51905, 93504, 33785, 87332]",2024-03-14 05:07:40,2024-05-12 10:03:51
87276,"[34444, 92026, 73253, 92164, 34821]",2023-01-24 05:53:56,2023-11-08 10:45:20
48029,"[41219, 21838, 33555, 24784, 91978]",2023-12-17 11:06:59,2024-04-21 20:43:32
4058,"[52294, 84014, 77332, 70910, 95593]",2024-06-15 15:47:25,2024-11-05 23:33:57
50323,"[43833, 7021, 60690, 39615, 20407]",2023-06-14 13:38:16,2023-08-03 13:29:57
57333,"[18447, 72218, 71938, 25471, 36330]",2023-10-13 15:31:06,2024-07-09 08:57:43
36371,"[62042, 14693, 80243, 85419, 54399]",2023-10-31 10:41:19,2024-05-13 20:51:37
12337,"[39615, 93270, 92729, 47827, 52507]",2023-05-26 09:38:24,2024-01-15 22:04:40
92279,"[18344, 12810, 38175, 27355, 4227]",2023-09-30 00:01:18,2024-04-24 17:42:24
56500,"[79398, 75029, 80243, 7776, 57663]",2024-10-08 00:25:35,2024-11-28 00:43:08
52305,"[86850, 85744, 35590, 18348, 88245]",2024-01-09 07:24:01,2024-12-24 11:35:18
66341,"[59302, 72377, 52000, 90216, 48035]",2023-12-07 03:57:02,2024-05-14 07:06:15
19633,"[38555, 6048, 54399, 22948, 40449]",2024-02-26 16:20:57,2024-06-30 20:58:25
86988,"[609, 48995, 70416, 20448, 47689]",2023-07-24 21:47:30,2023-11-29 11:03:44
27860,"[53625, 94234, 20448, 56816, 53043]",2024-02-27 22:00:32,2024-12-23 07:18:38
76759,"[2797, 94797, 92764, 97166, 87447]",2024-01-12 03:26:54,2024-02-01 11:56:32
29471,"[44402, 47288, 30362, 92729, 18976]",2023-04-01 08:34:14,2023-05-05 13:24:25
19096,"[11512, 42932, 49375, 14307, 19120]",2023-06-23 06:52:52,2023-08-12 01:03:59
26138,"[62807, 65273, 39572, 99241, 54572]",2024-01-18 09:37:14,2024-07-07 02:22:24
6935,"[96872, 93361, 95966, 67949, 42289]",2024-08-24 00:39:53,2024-10-02 13:27:33
97106,"[31742, 85748, 56658, 12351, 79223]",2023-02-16 02:42:13,2024-07-12 02:51:58
86766,"[33171, 33697, 43587, 95326, 67949]",2024-07-25 23:46:43,2024-11-04 17:31:05
18279,"[91154, 87307, 6921, 2711, 28926]",2024-12-03 14:21:52,2025-01-10 03:18:41
74341,"[2121, 81885, 80727, 14131, 97161]",2023-06-28 05:37:48,2024-08-18 13:17:46
78840,"[90957, 30294, 87053, 76878, 49721]",2024-12-06 01:27:59,2025-01-18 01:50:53
61903,"[75777, 90883, 7175, 99933, 54399]",2023-02-12 13:28:34,2023-12-29 08:22:12
95704,"[45220, 17174, 51270, 34149, 10842]",2023-07-01 07:25:35,2024-07-19 15:02:32
66925,"[33645, 66410, 12810, 65434, 36861]",2024-01-25 12:56:07,2024-12-13 11:53:35
43316,"[12111, 62133, 502, 33580, 45676]",2023-04-29 05:11:39,2024-01-23 01:13:33
88885,"[79995, 32743, 75313, 49375, 553]",2024-01-22 02:44:44,2024-12-02 04:16:10
10576,"[96426, 23223, 79846, 24990, 28361]",2024-10-21 08:10:12,2024-11-29 21:04:28
4536,"[50524, 47098, 64366, 62807, 54862]",2023-10-06 00:15:00,2024-02-16 06:36:35
60853,"[77919, 88208, 91650, 36711, 53797]",2023-06-14 04:33:24,2023-08-14 18:44:17
73515,"[48997, 41219, 23981, 10842, 9329]",2024-02-24 14:38:40,2024-05-15 13:55:32
86821,"[72218, 25889, 76947, 36513, 14793]",2024-05-03 11:23:01,2024-12-20 10:38:37
51198,"[14007, 5860, 12476, 96567, 21606]",2023-05-14 23:44:35,2023-08-31 10:06:45
60274,"[70797, 83359, 22364, 48035, 38398]",2023-09-30 00:56:57,2024-03-08 09:15:11
22385,"[3077, 8034, 63297, 36930, 76511]",2023-03-12 23:29:41,2024-08-27 13:38:59
30522,"[40783, 36436, 6048, 53058, 87809]",2023-06-05 20:58:02,2023-10-23 17:22:26
96195,"[2289, 88799, 17402, 54572, 57226]",2023-09-02 08:57:10,2024-01-14 00:14:08
56479,"[49058, 86371, 53625, 12453, 106]",2024-03-26 12:59:37,2024-04-23 01:12:49
77658,"[39885, 77302, 32673, 48709, 43893]",2023-04-21 15:41:02,2023-11-03 05:56:31
67008,"[55493, 10842, 32822, 37216, 35666]",2023-09-07 16:32:34,2024-07-22 21:23:48
62754,"[48594, 41357, 27932, 19343, 80575]",2024-03-05 11:35:42,2024-05-06 12:53:53
32439,"[99167, 49501, 59657, 29780, 63820]",2023-02-01 16:07:44,2023-08-12 15:33:08
