id,name,artist,songwriters,duration,genres,album,created_at,updated_at,duration_seconds,normalized_duration
49566,two,Nathan Rogers,Julie Lam,29:07,beyond,onto,2024-08-10T17:22:17,2024-10-19T07:12:59,1747,0.48749648777746557
3719,whole,Heather Solomon,Colin Brown,10:36,hand,control,2023-03-25T01:56:51,2024-06-07T19:22:45,636,0.17533014891823545
88799,more,Melissa Mays,Willie Shaffer,34:57,song,building,2024-10-04T08:32:06,2024-10-16T01:02:26,2097,0.5858387187412194
18457,morning,Alexander Benton,Patricia Hart,34:37,but,road,2024-01-20T09:50:24,2024-10-01T04:47:18,2077,0.5802191626861478
17522,though,Shaun Palmer,John Romero,18:04,leave,build,2024-03-26T18:30:19,2024-09-18T13:03:21,1084,0.3012082045518404
33956,case,Kathryn Garcia,Debra Rhodes,37:57,standard,customer,2024-04-16T17:42:57,2024-08-25T02:22:46,2277,0.6364147232368643
52925,beautiful,Lisa Garza,Jennifer Gates,10:08,already,small,2024-04-08T17:19:50,2024-08-08T00:38:13,608,0.16746277044113514
81659,nor,Melissa Shaw,Jennifer Silva,50:54,set,charge,2024-08-23T08:32:09,2024-03-19T19:53:12,3054,0.8547344759763978
43833,at,Brittany Torres,Austin Lloyd DVM,41:23,threat,size,2024-07-24T04:32:20,2024-06-19T21:52:11,2483,0.6942961506041023
40905,strong,Amy Simmons,Laura White,59:31,work,position,2024-12-20T07:46:55,2024-05-25T23:12:22,3571,1.0
41496,simple,Karen Clay,Timothy Garrett,01:17,yet,management,2024-07-12T21:55:48,2024-11-05T17:32:37,77,0.01826355717898286
65280,site,Phillip May,Paula Cook,57:19,space,somebody,2023-06-22T13:59:17,2024-05-11T09:13:21,3439,0.9629109300365272
98603,small,Neil Chang,Margaret Barnett,18:27,treatment,reach,2023-10-03T23:20:10,2024-11-23T21:04:56,1107,0.3076706940151728
69044,involve,Judith Guerrero,Marcus Walter,35:39,ball,fall,2023-07-27T11:39:37,2024-07-01T01:36:16,2139,0.5976397864568699
18974,decade,Brianna Beltran,Alejandro Jensen,44:21,learn,a,2024-04-27T20:26:32,2024-05-18T01:18:18,2661,0.7443101994942399
19518,church,Dwayne Thompson,Chase Marks,24:22,statement,first,2023-10-11T16:38:35,2024-12-14T22:43:58,1462,0.40741781399269456
41284,energy,Thomas Carpenter,Anthony Patton,38:37,have,against,2023-11-15T18:54:50,2024-03-26T17:19:47,2317,0.6476538353470076
55307,toward,Nicole Flores,Mark Benson,42:43,must,produce,2023-06-11T04:34:40,2024-12-12T11:47:29,2563,0.7167743748243889
70593,early,Jacob Olson,Ernest Duncan,17:55,perhaps,future,2023-12-29T11:12:25,2024-08-29T12:27:18,1075,0.29867940432705814
94856,include,Meagan Franklin,Veronica Moore,04:20,response,reach,2023-10-03T00:10:24,2024-11-01T22:34:07,260,0.06968249508288846
1889,mother,Sheena Holmes,Danielle Daniel,39:08,situation,trial,2023-05-22T19:28:58,2024-08-06T14:29:15,2348,0.6563641472323687
56864,job,David Nelson,Peter Snyder,08:29,consumer,adult,2024-01-31T06:35:23,2024-07-04T21:17:22,509,0.1396459679685305
